icd10_code	icd10_phe
M19121	Post-traumatic osteoarthritis, right elbow
J679	Hypersensitivity pneumonitis due to unspecified organic dust
R809	Proteinuria, unspecified
S0004	External constriction of part of scalp
S0036	Insect bite (nonvenomous) of nose
T8371	Erosion of implanted mesh and other prosthetic materials to surrounding organ or tissue
D3102	Benign neoplasm of left conjunctiva
S19	Other specified and unspecified injuries of neck
S7700	Crushing injury of unspecified hip
T25092	Burn of unspecified degree of multiple sites of left ankle and foot
E75241	Niemann-Pick disease type B
S8230	Unspecified fracture of lower end of tibia
S7509	Other specified injury of femoral artery
C883	Immunoproliferative small intestinal disease
K580	Irritable bowel syndrome with diarrhea
M4649	Discitis, unspecified, multiple sites in spine
S1090	Unspecified superficial injury of unspecified part of neck
S65019	Laceration of ulnar artery at wrist and hand level of unspecified arm
T868421	Corneal transplant infection, right eye
Y92233	Cafeteria of hospital as the place of occurrence of the external cause
T22059	Burn of unspecified degree of unspecified shoulder
V282	Unspecified motorcycle rider injured in noncollision transport accident in nontraffic accident
G728	Other specified myopathies
T6363	Toxic effect of contact with sea anemone
H0003	Abscess of eyelid
E1301	Other specified diabetes mellitus with hyperosmolarity with coma
E1333	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy
V29098	Other motorcycle driver injured in collision with other motor vehicles in nontraffic accident
I82729	Chronic embolism and thrombosis of deep veins of unspecified upper extremity
S00279	Other superficial bite of unspecified eyelid and periocular area
S066X1	Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less
C7900	Secondary malignant neoplasm of unspecified kidney and renal pelvis
D191	Benign neoplasm of mesothelial tissue of peritoneum
L98A293	Non-pressure chronic ulcer of unspecified forearm with necrosis of muscle
S66211	Strain of extensor muscle, fascia and tendon of right thumb at wrist and hand level
K310	Acute dilatation of stomach
D120	Benign neoplasm of cecum
H15032	Posterior scleritis, left eye
M1A06	Idiopathic chronic gout, knee
T43624	Poisoning by amphetamines, undetermined
L98474	Non-pressure chronic ulcer of groin with necrosis of bone
F10182	Alcohol abuse with alcohol-induced sleep disorder
S85509	Unspecified injury of popliteal vein, unspecified leg
K632	Fistula of intestine
E72530	Primary hyperoxaluria, type 1
H442B3	Degenerative myopia with macular hole, bilateral
P2811	Resorption atelectasis without respiratory distress syndrome
T203	Burn of third degree of head, face, and neck
T496X4	Poisoning by otorhinolaryngological drugs and preparations, undetermined
S36429	Contusion of unspecified part of small intestine
H613	Acquired stenosis of external ear canal
R4181	Age-related cognitive decline
C8880	Other malignant immunoproliferative diseases not having achieved remission
S98012	Complete traumatic amputation of left foot at ankle level
S83512	Sprain of anterior cruciate ligament of left knee
V2299	Unspecified rider of other motorcycle injured in collision with two- or three-wheeled motor vehicle in traffic accident
T8323	Leakage of graft of urinary organ
T85691	Other mechanical complication of intraperitoneal dialysis catheter
G733	Myasthenic syndromes in other diseases classified elsewhere
O2333	Infections of other parts of urinary tract in pregnancy, third trimester
G44219	Episodic tension-type headache, not intractable
O458X9	Other premature separation of placenta, unspecified trimester
Q506	Other congenital malformations of fallopian tube and broad ligament
T24519	Corrosion of first degree of unspecified thigh
T82837	Hemorrhage due to cardiac prosthetic devices, implants and grafts
X002	Injury due to collapse of burning building or structure in uncontrolled fire
I050	Rheumatic mitral stenosis
N99524	Stenosis of incontinent stoma of urinary tract
S90812	Abrasion, left foot
Z91110	Patient's noncompliance with dietary regimen due to financial hardship
L89114	Pressure ulcer of right upper back, stage 4
T63442	Toxic effect of venom of bees, intentional self-harm
I22	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
N80322	Deep endometriosis of the posterior cul-de-sac
S88011	Complete traumatic amputation at knee level, right lower leg
Z3040	Encounter for surveillance of contraceptives, unspecified
H7440	Polyp of middle ear, unspecified ear
V659	Unspecified occupant of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident
S21402	Unspecified open wound of left back wall of thorax with penetration into thoracic cavity
S8311	Anterior subluxation and dislocation of proximal end of tibia
K9422	Gastrostomy infection
S82144	Nondisplaced bicondylar fracture of right tibia
K3589	Other acute appendicitis
S91031	Puncture wound without foreign body, right ankle
E0910	Drug or chemical induced diabetes mellitus with ketoacidosis without coma
V1960	Unspecified pedal cyclist injured in collision with unspecified motor vehicles in traffic accident
J1000	Influenza due to other identified influenza virus with unspecified type of pneumonia
T386X6	Underdosing of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified
B870	Cutaneous myiasis
Y9204	Boarding-house as the place of occurrence of the external cause
K9429	Other complications of gastrostomy
V0311	Pedestrian on roller-skates injured in collision with car, pick-up truck or van in traffic accident
T43611	Poisoning by caffeine, accidental (unintentional)
H73012	Bullous myringitis, left ear
S9130	Unspecified open wound of foot
Z6711	Type A blood, Rh negative
P545	Neonatal cutaneous hemorrhage
K069	Disorder of gingiva and edentulous alveolar ridge, unspecified
N83	Noninflammatory disorders of ovary, fallopian tube and broad ligament
N910	Primary amenorrhea
S36400	Unspecified injury of duodenum
M8604	Acute hematogenous osteomyelitis, hand
S89019	Salter-Harris Type I physeal fracture of upper end of unspecified tibia
Z8701	Personal history of pneumonia (recurrent)
S6431	Injury of digital nerve of right thumb
S92241	Displaced fracture of medial cuneiform of right foot
S552	Injury of vein at forearm level
F02C2	Dementia in other diseases classified elsewhere, severe, with psychotic disturbance
M146	Charcot's joint
T85733	Infection and inflammatory reaction due to implanted electronic neurostimulator of spinal cord, electrode (lead)
O0487	Sepsis following (induced) termination of pregnancy
G35C	Secondary progressive multiple sclerosis
O36	Maternal care for other fetal problems
A839	Mosquito-borne viral encephalitis, unspecified
H11039	Double pterygium of unspecified eye
F17219	Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders
B348	Other viral infections of unspecified site
D01	Carcinoma in situ of other and unspecified digestive organs
R788	Finding of other specified substances, not normally found in blood
Z7963	Long term (current) use of chemotherapeutic agent
S5319	Other subluxation and dislocation of ulnohumeral joint
I63342	Cerebral infarction due to thrombosis of left cerebellar artery
M7910	Myalgia, unspecified site
Z3143	Encounter for genetic testing of female for procreative management
Y0754	Acquaintance or friend, perpetrator of maltreatment and neglect
G4421	Episodic tension-type headache
M85029	Fibrous dysplasia (monostotic), unspecified upper arm
T3890	Poisoning by, adverse effect of and underdosing of unspecified hormone antagonists
R4585	Homicidal and suicidal ideations
S43013	Anterior subluxation of unspecified humerus
E135	Other specified diabetes mellitus with circulatory complications
V489	Unspecified car occupant injured in noncollision transport accident in traffic accident
M0631	Rheumatoid nodule, shoulder
D251	Intramural leiomyoma of uterus
P9181	Neonatal encephalopathy
T80211	Bloodstream infection due to central venous catheter
O99353	Diseases of the nervous system complicating pregnancy, third trimester
R863	Abnormal level of substances chiefly nonmedicinal as to source in specimens from male genital organs
T85615	Breakdown (mechanical) of other nervous system device, implant or graft
W44D0	Magnetic metal object unspecified, entering into or through a natural orifice
M86112	Other acute osteomyelitis, left shoulder
Y93L9	Activity, other outdoor activity
K9403	Colostomy malfunction
F17290	Nicotine dependence, other tobacco product, uncomplicated
L02229	Furuncle of trunk, unspecified
C8441	Peripheral T-cell lymphoma, not elsewhere classified, lymph nodes of head, face, and neck
G4431	Acute post-traumatic headache
T460	Poisoning by, adverse effect of and underdosing of cardiac-stimulant glycosides and drugs of similar action
E299	Testicular dysfunction, unspecified
S21302	Unspecified open wound of left front wall of thorax with penetration into thoracic cavity
M71019	Abscess of bursa, unspecified shoulder
E7021	Tyrosinemia
C089	Malignant neoplasm of major salivary gland, unspecified
S62332	Displaced fracture of neck of third metacarpal bone, right hand
M7741	Metatarsalgia, right foot
H18332	Rupture in Descemet's membrane, left eye
C0689	Malignant neoplasm of overlapping sites of other parts of mouth
H61102	Unspecified noninfective disorders of pinna, left ear
O298X	Other complications of anesthesia during pregnancy
K559	Vascular disorder of intestine, unspecified
O470	False labor before 37 completed weeks of gestation
Z858	Personal history of malignant neoplasms of other organs and systems
H9329	Other abnormal auditory perceptions
O9982	Streptococcus B carrier state complicating pregnancy, childbirth and the puerperium
N758	Other diseases of Bartholin's gland
O30813	Other specified multiple gestation with two or more monochorionic fetuses, third trimester
M08812	Other juvenile arthritis, left shoulder
S63299	Dislocation of distal interphalangeal joint of unspecified finger
E002	Congenital iodine-deficiency syndrome, mixed type
M2566	Stiffness of knee, not elsewhere classified
M6620	Spontaneous rupture of extensor tendons, unspecified site
O720	Third-stage hemorrhage
S56116	Strain of flexor muscle, fascia and tendon of left ring finger at forearm level
S75991	Other specified injury of unspecified blood vessel at hip and thigh level, right leg
S99049	Salter-Harris Type IV physeal fracture of unspecified calcaneus
